Rank,Title,Distributor,Domestic gross,Quarter,Opening,Opening.1,Production company,Cast and crew,Ref.,Month,Year,Domestic gross_clean
N/A,Mission: Impossible – Dead Reckoning Part One,N/A,N/A,Table 4,J U L Y,12.0,Paramount Pictures / Skydance Media / TC Productions,"Christopher McQuarrie (director/screenplay); Erik Jendresen (screenplay); Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Rebecca Ferguson, Vanessa Kirby, Esai Morales, Pom Klementieff, Mariela Garriga, Henry Czerny",[157],N/A,2023,0.0
N/A,They Cloned Tyrone,N/A,N/A,Table 4,J U L Y,14.0,Netflix / MACRO Media,"Juel Taylor (director/screenplay); Tony Rettenmaier (screenplay); John Boyega, Teyonah Parris, Jamie Foxx, David Alan Grier, Kiefer Sutherland",[158],N/A,2023,0.0
N/A,Theater Camp,N/A,N/A,Table 4,J U L Y,14.0,Searchlight Pictures / Topic Studios / Gloria Sanchez Productions,"Molly Gordon, Nick Lieberman (directors/screenplay); Ben Platt, Noah Galvin (screenplay); Noah Galvin, Molly Gordon, Ben Platt, Jimmy Tatro, Patti Harrison, Nathan Lee Graham, Ayo Edebiri, Owen Thiele, Caroline Aaron, Amy Sedaris",[159],N/A,2023,0.0
N/A,Barbie,N/A,N/A,Table 4,J U L Y,21.0,Warner Bros. Pictures / Heyday Films / LuckyChap Entertainment / Mattel Films,"Greta Gerwig (director/screenplay); Noah Baumbach (screenplay); Margot Robbie, Ryan Gosling, America Ferrera, Kate McKinnon, Issa Rae, Rhea Perlman, Will Ferrell",[160],N/A,2023,0.0
N/A,Oppenheimer,N/A,N/A,Table 4,J U L Y,21.0,Universal Pictures / Syncopy / Atlas Entertainment,"Christopher Nolan (director/screenplay); Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh, Josh Hartnett, Casey Affleck, Rami Malek, Kenneth Branagh",[161],N/A,2023,0.0
N/A,Cobweb,N/A,N/A,Table 4,J U L Y,21.0,Lionsgate / Point Grey Pictures,"Samuel Bodin (director); Chris Thomas Devlin (screenplay); Lizzy Caplan, Woody Norman, Cleopatra Coleman, Antony Starr",[162],N/A,2023,0.0
N/A,The Beanie Bubble,N/A,N/A,Table 4,J U L Y,21.0,Apple TV+ / Imagine Entertainment,"Kristin Gore, Damian Kulash (directors); Kristin Gore (screenplay); Zach Galifianakis, Elizabeth Banks, Sarah Snook, Geraldine Viswanathan",[163],N/A,2023,0.0
N/A,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,N/A,N/A,Table 4,J U L Y,21.0,"Warner Bros. Home Entertainment / Williams Street / Astro Base GO! / Titmouse, Inc.","Jackson Publick (director/screenplay); Doc Hammer (screenplay); James Urbaniak, Patrick Warburton, Michael Sinterniklaas, Chris McCulloch, Doc Hammer",[164],N/A,2023,0.0
N/A,Zoey 102,N/A,N/A,Table 4,J U L Y,27.0,Paramount+ / Nickelodeon Movies / AwesomenessTV,"Nancy Hower (director); Monica Sherer, Madeline Whitby (screenplay); Jamie Lynn Spears, Erin Sanders, Sean Flynn, Christopher Massey, Matthew Underwood, Abby Wilde, Jack Salvatore Jr., Owen Thiele, Thomas Lennon, Dean Geyer, Katelynn Bennett",[165],N/A,2023,0.0
N/A,Haunted Mansion,N/A,N/A,Table 4,J U L Y,28.0,Walt Disney Pictures / Rideback,"Justin Simien (director); Katie Dippold (screenplay); LaKeith Stanfield, Tiffany Haddish, Owen Wilson, Danny DeVito, Rosario Dawson, Dan Levy, Jamie Lee Curtis, Jared Leto",[166],N/A,2023,0.0
N/A,Sympathy for the Devil,N/A,N/A,Table 4,J U L Y,28.0,RLJE Films / Hammerstone Studios,"Yuval Adler (director); Luke Paradise (screenplay); Nicolas Cage, Joel Kinnaman",[167],N/A,2023,0.0
N/A,Circus Maximus,N/A,N/A,Table 4,J U L Y,28.0,AMC Entertainment,"Travis Scott, Gaspar Noé, Valdimar Jóhannsson, Nicolas Winding Refn, Harmony Korine, Kahlil Joseph (directors); Travis Scott (screenplay); Travis Scott, Rick Rubin, James Blake, Sheck Wes, Yung Lean, Teezo Touchdown",[168],N/A,2023,0.0
N/A,Happiness for Beginners,N/A,N/A,Table 4,J U L Y,28.0,Netflix,"Vicky Wright (director/screenplay); Ellie Kemper, Luke Grimes, Nico Santos, Blythe Danner",[169],N/A,2023,0.0
N/A,War Pony,N/A,N/A,Table 4,J U L Y,28.0,Momentum Pictures,"Riley Keough, Gina Gammell (directors/screenplay); Franklin Sioux Bob, Bill Reddy (screenplay); Jojo Bapteise Whiting, Ladainian Crazy Thunder",[170],N/A,2023,0.0
N/A,The Unknown Country,N/A,N/A,Table 4,J U L Y,28.0,Music Box Pictures / Cold Iron Pictures,"Morissa Maltz (director/screenplay); Lily Gladstone, Raymond Lee, Richard Ray Whitman, Lainey Bearkiller Shangreaux, Devin Shangreaux, Jasmine Bearkiller Shangreaux",[171],N/A,2023,0.0
N/A,Blue Hour: The Disappearance of Nick Brandreth,N/A,N/A,Table 4,A U G U S T,1.0,Glass House Distribution,"Dan Bowhers (director/screenplay); Morgan DeTogne, Michael Kowalski, Mike Headford, Nick Brandreth, Josh Olkowski, Kathryn Schott",[172],N/A,2023,0.0
N/A,Teenage Mutant Ninja Turtles: Mutant Mayhem,N/A,N/A,Table 4,A U G U S T,2.0,Paramount Pictures / Nickelodeon Movies / Point Grey Pictures,"Jeff Rowe (director/screenplay); Seth Rogen, Evan Goldberg, Dan Hernandez, Benji Samit (screenplay); Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon, Ayo Edebiri, Maya Rudolph, John Cena, Seth Rogen, Rose Byrne, Natasia Demetriou, Giancarlo Esposito, Jackie Chan, Ice Cube, Paul Rudd, Post Malone, Hannibal Buress",[173],N/A,2023,0.0
N/A,Mike & Fred vs The Dead,N/A,N/A,Table 4,A U G U S T,2.0,Leone Films / Midnight Releasing,"Anthony Leone (director/screenplay); Felissa Rose, George Jac, Brian Patrick Butler, Michael C. Burgess, Sadie Katz, Jayce Venditti, Nick Young",[174],N/A,2023,0.0
N/A,Meg 2: The Trench,N/A,N/A,Table 4,A U G U S T,4.0,Warner Bros. Pictures / CMC Pictures / Di Bonaventura Pictures,"Ben Wheatley (director); Jon Hoeber, Erich Hoeber, Dean Georgaris (screenplay); Jason Statham, Wu Jing, Sophia Cai, Page Kennedy, Sergio Peris-Mencheta, Skyler Samuels, Cliff Curtis",[175],N/A,2023,0.0
N/A,Shortcomings,N/A,N/A,Table 4,A U G U S T,4.0,Sony Pictures Classics / Topic Studios / Roadside Attractions,"Randall Park (director); Adrian Tomine (screenplay); Justin H. Min, Sherry Cola, Ally Maki, Debby Ryan, Tavi Gevinson, Sonoya Mizuno, Jacob Batalon, Timothy Simons",[176],N/A,2023,0.0
N/A,Dreamin' Wild,N/A,N/A,Table 4,A U G U S T,4.0,Roadside Attractions / River Road Entertainment,"Bill Pohlad (director/screenplay); Casey Affleck, Walton Goggins, Zooey Deschanel, Noah Jupe, Jack Dylan Grazer, Chris Messina, Beau Bridges",[177],N/A,2023,0.0
N/A,Corner Office,N/A,N/A,Table 4,A U G U S T,4.0,Lionsgate / Grindstone Entertainment Group / Anonymous Content,"Joachim Back (director); Ted Kupper (screenplay); Jon Hamm, Danny Pudi, Sarah Gadon, Christopher Heyerdahl",[178],N/A,2023,0.0
N/A,What Comes Around,N/A,N/A,Table 4,A U G U S T,4.0,IFC Films,"Amy Redford (director); Scott Organ (screenplay); Summer Phoenix, Grace Van Dien, Jesse Garcia, Kyle Gallner",[179],N/A,2023,0.0
N/A,The Passenger,N/A,N/A,Table 4,A U G U S T,4.0,MGM+ / Blumhouse Productions,"Carter Smith (director); Jack Stanley (screenplay); Johnny Berchtold, Kyle Gallner",[180],N/A,2023,0.0
N/A,The Last Voyage of the Demeter,N/A,N/A,Table 4,A U G U S T,11.0,Universal Pictures / DreamWorks Pictures / Reliance Entertainment / Phoenix Pictures,"André Øvredal (director); Bragi F. Schut, Zak Olkewicz (screenplay); Corey Hawkins, Aisling Franciosi, Liam Cunningham, David Dastmalchian",[181],N/A,2023,0.0
N/A,Heart of Stone,N/A,N/A,Table 4,A U G U S T,11.0,Netflix / Skydance Media,"Tom Harper (director); Greg Rucka, Allison Schroeder (screenplay); Gal Gadot, Jamie Dornan, Alia Bhatt, Matthias Schweighöfer, Sophie Okonedo",[109],N/A,2023,0.0
N/A,"Red, White & Royal Blue",N/A,N/A,Table 4,A U G U S T,11.0,Amazon Studios / Berlanti-Schechter Films,"Matthew Lopez (director/screenplay); Ted Malawer (screenplay); Taylor Zakhar Perez, Nicholas Galitzine, Clifton Collins Jr., Sarah Shahi, Rachel Hilson, Stephen Fry, Uma Thurman",[182],N/A,2023,0.0
N/A,Jules,N/A,N/A,Table 4,A U G U S T,11.0,Bleecker Street / Big Beach,"Marc Turtletaub (director); Gavin Steckler (screenplay); Ben Kingsley, Jane Curtin, Harriet Sansom Harris",[183],N/A,2023,0.0
N/A,Inside Man,N/A,N/A,Table 4,A U G U S T,11.0,Global Ascension / 2B Films / Wild7 Films,"Danny A. Abeckaser (director); Kosta Kondilopoulos (screenplay); Emile Hirsch, Jake Cannavale, Lucy Hale, Ashley Greene, Greg Finley, Danny A. Abeckaser",[184],N/A,2023,0.0
N/A,Blue Beetle,N/A,N/A,Table 4,A U G U S T,18.0,Warner Bros. Pictures / DC Studios,"Ángel Manuel Soto (director); Gareth Dunnet-Alcocer (screenplay); Xolo Maridueña, Adriana Barraza, Damián Alcázar, Elpidia Carrillo, Bruna Marquezine, Raoul Max Trujillo, Susan Sarandon, George Lopez",[185],N/A,2023,0.0
N/A,Strays,N/A,N/A,Table 4,A U G U S T,18.0,Universal Pictures / Lord Miller Productions,"Josh Greenbaum (director); Dan Perrault (screenplay); Will Ferrell, Jamie Foxx, Will Forte, Isla Fisher, Randall Park, Josh Gad, Harvey Guillén, Rob Riggle, Brett Gelman, Jamie Demetriou, Sofia Vergara",[186],N/A,2023,0.0
N/A,The Monkey King,N/A,N/A,Table 4,A U G U S T,18.0,Netflix / Reel FX Animation,"Anthony Stacchi (director); Steve Bencich, Ron J. Friedman (screenplay); Jimmy O. Yang, Lin Jolie Hoang-Rappaport, Bowen Yang, Jo Koy, Stephanie Hsu, BD Wong",[187],N/A,2023,0.0
N/A,Back on the Strip,N/A,N/A,Table 4,A U G U S T,18.0,GVN Releasing / Luminosity Entertainment,"Chris Spencer (director/screenplay); Eric Daniel (screenplay); Wesley Snipes, J. B. Smoove, Gary Owen, Bill Bellamy, Spence Moore II, Raigan Harris, Faizon Love, Tiffany Haddish",[188],N/A,2023,0.0
N/A,Landscape with Invisible Hand,N/A,N/A,Table 4,A U G U S T,18.0,Metro-Goldwyn-Mayer / Plan B Entertainment / Annapurna Pictures,"Cory Finley (director/screenplay); Asante Blackk, Kylie Rogers, Tiffany Haddish",[189],N/A,2023,0.0
N/A,Birth/Rebirth,N/A,N/A,Table 4,A U G U S T,18.0,Shudder / Retrospecter Films / Elfman + Viste,"Laura Moss (director); Laura Moss, Brendan J. O'Brien (screenplay); Marin Ireland, Judy Reyes, A.J. Lister, Breda Wool, Monique Gabriela Curnen, Grant Harrison, LaChanze, Rina Meija",[190],N/A,2023,0.0
N/A,The Adults,N/A,N/A,Table 4,A U G U S T,18.0,Variance Films,"Dustin Guy Defa (director/screenplay); Michael Cera, Hannah Gross, Sophia Lillis",[191],N/A,2023,0.0
N/A,Gran Turismo,N/A,N/A,Table 4,A U G U S T,25.0,Columbia Pictures / PlayStation Productions / Trigger Street Productions,"Neill Blomkamp (director); Jason Hall, Zach Baylin (screenplay); David Harbour, Orlando Bloom, Archie Madekwe, Darren Barnet, Geri Halliwell Horner, Djimon Hounsou",[192],N/A,2023,0.0
N/A,Retribution,N/A,N/A,Table 4,A U G U S T,25.0,Lionsgate / Roadside Attractions / StudioCanal / The Picture Company,"Nimród Antal (director); Chris Salmanpour (screenplay); Liam Neeson, Noma Dumezweni, Lilly Aspell, Jack Champion, Embeth Davidtz, Matthew Modine",[193],N/A,2023,0.0
N/A,Vacation Friends 2,N/A,N/A,Table 4,A U G U S T,25.0,Hulu / 20th Century Studios,"Clay Tarver (director/screenplay); John Cena, Lil Rel Howery, Yvonne Orji, Meredith Hagner, Carlos Santos, Ronny Chieng, Jamie Hector, Steve Buscemi",[194],N/A,2023,0.0
N/A,You Are So Not Invited to My Bat Mitzvah,N/A,N/A,Table 4,A U G U S T,25.0,Netflix / Happy Madison Productions,"Sammi Cohen (director); Alison Peck (screenplay); Sunny Sandler, Samantha Lorraine, Adam Sandler, Idina Menzel, Jackie Sandler, Sadie Sandler, Dylan Hoffman, Jackie Hoffman, Luis Guzmán",[195],N/A,2023,0.0
N/A,Bottoms,N/A,N/A,Table 4,A U G U S T,25.0,Orion Pictures / Brownstone Productions,"Emma Seligman (director/screenplay); Rachel Sennott (screenplay); Rachel Sennott, Ayo Edebiri, Havana Rose Liu, Kaia Gerber, Nicholas Galitzine, Dagmara Domińczyk, Marshawn Lynch",[196],N/A,2023,0.0
N/A,Golda,N/A,N/A,Table 4,A U G U S T,25.0,Bleecker Street / Embankment Films / Qwerty Films,"Guy Nattiv (director); Nicholas Martin (screenplay); Helen Mirren, Camille Cottin, Liev Schreiber",[197],N/A,2023,0.0
N/A,MR-9: Do or Die,N/A,N/A,Table 4,A U G U S T,25.0,Chasing Butterflies Pictures / Premiere Entertainment / Al Bravo Films / Avail Entertainment / Jaaz Multimedia,"Asif Akbar (director & screenplay); AMB Sumon, Sakshi Pradhan, Frank Grillo, Michael Jai White, Tariq Anam Khan, Jessia Islam",[198][199],N/A,2023,0.0
N/A,The Hill,N/A,N/A,Table 4,A U G U S T,25.0,Briarcliff Entertainment,"Jeff Celentano (director); Scott Marshall Smith, Angelo Pizzo (screenplay); Colin Ford, Dennis Quaid, Joelle Carter, Scott Glenn",[200],N/A,2023,0.0
N/A,The Equalizer 3,N/A,N/A,Table 4,S E P T E M B E R,1.0,Columbia Pictures / Escape Artists,"Antoine Fuqua (director); Richard Wenk (screenplay); Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro, Remo Girone",[127],N/A,2023,0.0
N/A,The Good Mother,N/A,N/A,Table 4,S E P T E M B E R,1.0,Vertical Entertainment,"Miles Joris-Peyrafitte (director/screenplay); Madison Harrison (screenplay); Hilary Swank, Olivia Cooke, Jack Reynor, Hopper Penn",[201],N/A,2023,0.0
N/A,All Fun and Games,N/A,N/A,Table 4,S E P T E M B E R,1.0,Vertical Entertainment / AGBO,"Ari Costa, Eren Celeboglu (director/screenplay); J.J. Braider (screenplay); Natalia Dyer, Asa Butterfield, Benjamin Evan Ainsworth, Laurel Marsden, Kolton Stewart, Annabeth Gish",[202],N/A,2023,0.0
N/A,Yoshiki: Under the Sky,N/A,N/A,Table 4,S E P T E M B E R,7.0,A List Media Entertainment,"Yoshiki (director); Yoshiki, Sarah Brightman, Jane Zhang, Scorpions, SixTones, Nicole Scherzinger, St. Vincent, Sugizo, Hyde, Lindsey Stirling, The Chainsmokers",[203],N/A,2023,0.0
N/A,The Nun II,N/A,N/A,Table 4,S E P T E M B E R,8.0,Warner Bros. Pictures / New Line Cinema / Atomic Monster,"Michael Chaves (director); Ian Goldberg, Richard Naing, Akela Cooper (screenplay); Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell, Bonnie Aarons",[56],N/A,2023,0.0
N/A,My Big Fat Greek Wedding 3,N/A,N/A,Table 4,S E P T E M B E R,8.0,Focus Features / Playtone / Gold Circle Entertainment / HBO Films,"Nia Vardalos (director/screenplay); Nia Vardalos, John Corbett, Louis Mandylor, Elena Kampouris, Gia Carides, Joey Fatone, Lainie Kazan, Andrea Martin",[204],N/A,2023,0.0
N/A,Sitting in Bars with Cake,N/A,N/A,Table 4,S E P T E M B E R,8.0,Amazon Studios,"Trish Sie (director); Audrey Shulman (screenplay); Yara Shahidi, Odessa A'zion, Martha Kelly, Ron Livingston, Bette Midler",[205],N/A,2023,0.0
N/A,Aristotle and Dante Discover the Secrets of the Universe,N/A,N/A,Table 4,S E P T E M B E R,8.0,Blue Fox Entertainment,"Aitch Alberto (director/screenplay); Max Pelayo, Reese Gonzales, Eugenio Derbez, Eva Longoria",[206],N/A,2023,0.0
N/A,After Everything,N/A,N/A,Table 4,S E P T E M B E R,13.0,Voltage Pictures,"Castille Landon (director/screenplay); Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Chance Perdomo, Kiana Madeira, Rob Estes, Arielle Kebbel, Carter Jenkins, Anton Kottas, Stephen Moyer",[207],N/A,2023,0.0
N/A,A Haunting in Venice,N/A,N/A,Table 4,S E P T E M B E R,15.0,20th Century Studios / Scott Free Productions / Genre Films,"Kenneth Branagh (director); Michael Green (screenplay); Kenneth Branagh, Kyle Allen, Camille Cottin, Jamie Dornan, Tina Fey, Jude Hill, Ali Khan, Emma Laird, Kelly Reilly, Riccardo Scamarcio, Michelle Yeoh",[208],N/A,2023,0.0
N/A,Dumb Money,N/A,N/A,Table 4,S E P T E M B E R,15.0,Columbia Pictures / Stage 6 Films / Black Bear Pictures,"Craig Gillespie (director); Lauren Schuker Blum, Rebecca Angelo (screenplay); Paul Dano, Pete Davidson, Vincent D'Onofrio, America Ferrera, Nick Offerman, Anthony Ramos, Sebastian Stan, Shailene Woodley, Seth Rogen",[209],N/A,2023,0.0
N/A,Love at First Sight,N/A,N/A,Table 4,S E P T E M B E R,15.0,Netflix,"Vanessa Caswill (director); Katie Lovejoy (screenplay); Haley Lu Richardson, Ben Hardy, Dexter Fletcher, Rob Delaney, Sally Phillips, Jameela Jamil",[210],N/A,2023,0.0
N/A,A Million Miles Away,N/A,N/A,Table 4,S E P T E M B E R,15.0,Amazon Studios,"Alejandra Márquez Abella (director/screenplay); Bettina Gilois, Hernán Jiménez (screenplay); Michael Peña, Rosa Salazar, Sarayu Blue, Verónica Falcón, Julio Cesar Cedillo, Garret Dillahunt",[211],N/A,2023,0.0
N/A,The Retirement Plan,N/A,N/A,Table 4,S E P T E M B E R,15.0,Falling Forward Films / Productivity Media / Darius Films,"Tim Brown (director/screenplay); Nicolas Cage, Ron Perlman, Ashley Greene, Jackie Earle Haley, Grace Byers, Ernie Hudson, Lynn Whitfield, Joel David Moore, Thalia Campbell",[212],N/A,2023,0.0
N/A,Outlaw Johnny Black,N/A,N/A,Table 4,S E P T E M B E R,15.0,Samuel Goldwyn Films,"Michael Jai White (director/screenplay); Michael Jai White, Anika Noni Rose, Erica Ash, Byron Minns, Kevin Chapman, Kym Whitley, Tommy Davidson, Buddy Lewis, Chris Browning, Barry Bostwick, Gary Anthony Williams, Tony Baker, Glynn Turman",[213],N/A,2023,0.0
N/A,Camp Hideout,N/A,N/A,Table 4,S E P T E M B E R,15.0,Roadside Attractions,"Sean Olson (director); Dave DeBorde, C. Neil Davenport, Kat Olson (screenplay); Ethan Drew, Corbin Bleu, Amanda Leighton, Christopher Lloyd",[214],N/A,2023,0.0
N/A,The Inventor,N/A,N/A,Table 4,S E P T E M B E R,15.0,Blue Fox Entertainment,"Jim Capobianco (director/screenplay); Stephen Fry, Marion Cotillard, Daisy Ridley, Matt Berry, Natalie Palamides, Jim Capobianco",[215],N/A,2023,0.0
N/A,Expend4bles,N/A,N/A,Table 4,S E P T E M B E R,22.0,Lionsgate / Millennium Media,"Scott Waugh (director); Kurt Wimmer, Tad Daggerhart, Max Adams (screenplay); Jason Statham, Sylvester Stallone, Megan Fox, 50 Cent, Randy Couture, Tony Jaa, Iko Uwais, Jacob Scipio, Levy Tran, Andy García, Dolph Lundgren",[123],N/A,2023,0.0
N/A,Spy Kids: Armageddon,N/A,N/A,Table 4,S E P T E M B E R,22.0,Netflix / Skydance Media / Spyglass Media Group / Troublemaker Studios,"Robert Rodriguez (director/screenplay); Racer Max (screenplay); Gina Rodriguez, Zachary Levi, Everly Carganilla, Connor Esterson, Billy Magnussen, D. J. Cotrona",[216],N/A,2023,0.0
N/A,Reptile,N/A,N/A,Table 4,S E P T E M B E R,22.0,Netflix / Black Label Media,"Grant Singer (director/screenplay); Benjamin Brewer, Benicio del Toro (screenplay); Benicio del Toro, Justin Timberlake, Alicia Silverstone, Eric Bogosian, Ato Essandoh, Domenick Lombardozzi, Michael Pitt",[217],N/A,2023,0.0
N/A,Cassandro,N/A,N/A,Table 4,S E P T E M B E R,22.0,Amazon Studios / Escape Artists,"Roger Ross Williams (director/screenplay); David Teague (screenplay); Gael García Bernal, Roberta Colindrez, Perla De La Rosa, Joaquín Cosío, Raúl Castillo, El Hijo del Santo, Bad Bunny",[218],N/A,2023,0.0
N/A,Flora and Son,N/A,N/A,Table 4,S E P T E M B E R,22.0,Apple TV+ / FilmNation Entertainment / Likely Story,"John Carney (director/screenplay); Eve Hewson, Jack Reynor, Orén Kinlan, Joseph Gordon-Levitt",[219],N/A,2023,0.0
N/A,No One Will Save You,N/A,N/A,Table 4,S E P T E M B E R,22.0,Hulu / 20th Century Studios,Brian Duffield (director/screenplay); Kaitlyn Dever,[220],N/A,2023,0.0
N/A,It Lives Inside,N/A,N/A,Table 4,S E P T E M B E R,22.0,Neon / Brightlight Pictures,"Bishal Dutta (director/screenplay); Megan Suri, Neeru Bajwa, Mohana Krishnan, Vik Sahay, Gage Marsh, Beatrice Kitsos, Betty Gabriel",[221],N/A,2023,0.0
N/A,Everybody Dies by the End,N/A,N/A,Table 4,S E P T E M B E R,22.0,Terror Films / Children of Celluloid,"Ian Tripp, Ryan Schafer (directors); Ian Tripp (screenplay); Vinny Curran, Bill Oberst Jr., Brendan Cahalan, Iliyana Apostolova, Ian Tripp, Joshua Wyble, Ryan Schafer, Caroline Amiguet, Paul Fisher III, Alan Vazquez",[222],N/A,2023,0.0
N/A,The Kill Room,N/A,N/A,Table 4,S E P T E M B E R,26.0,Shout! Studios / Yale Entertainment,"Nicol Paone (director); Jonathan Jacobson (screenplay); Uma Thurman, Joe Manganiello, Maya Hawke, Debi Mazar, Dree Hemingway, Samuel L. Jackson",[223],N/A,2023,0.0
N/A,The Creator,N/A,N/A,Table 4,S E P T E M B E R,29.0,20th Century Studios / Regency Enterprises / Entertainment One,"Gareth Edwards (director/screenplay); Chris Weitz (screenplay); John David Washington, Gemma Chan, Ken Watanabe, Sturgill Simpson, Madeleine Yuna Voyles, Allison Janney",[224],N/A,2023,0.0
N/A,Saw X,N/A,N/A,Table 4,S E P T E M B E R,29.0,Lionsgate / Twisted Pictures,"Kevin Greutert (director); Josh Stolberg, Peter Goldfinger (screenplay); Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand, Renata Vacal, Michael Beach",[225],N/A,2023,0.0
N/A,Fair Play,N/A,N/A,Table 4,S E P T E M B E R,29.0,Netflix / MRC / T-Street Productions,"Chloe Domont (director/screenplay); Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",[226],N/A,2023,0.0
N/A,Heist 88,N/A,N/A,Table 4,S E P T E M B E R,29.0,Showtime / Paramount+,"Menhaj Huda (director); Dwayne Johnson-Cochran (screenplay); Courtney B. Vance, Keesha Sharp, Keith David",[227],N/A,2023,0.0
N/A,The Re-Education of Molly Singer,N/A,N/A,Table 4,S E P T E M B E R,29.0,Lionsgate,"Andy Palmer (director); Todd Friedman, Kevin Haskins (screenplay); Britt Robertson, Ty Simpkins, Nico Santos, Cierra Ramirez, Holland Roden, Wendie Malick, Jaime Pressly",[228],N/A,2023,0.0
N/A,Deliver Us,N/A,N/A,Table 4,S E P T E M B E R,29.0,Magnet Releasing,"Lee Roy Kunz, Cru Ennis (directors); Lee Roy Kunz, Kane Kunz (screenplay); Lee Roy Kunz, Maria Vera Ratti, Alexander Siddig, Jaune Kimmel, Thomas Kretschmann",[229],N/A,2023,0.0
N/A,Oracle,N/A,N/A,Table 5,,1.0,Max / Universal Pictures / Will Packer Productions,"Daniel Di Grado (director); Michael Ross, Corey Harrell (screenplay); Ryan Destiny, Heather Graham",[230],N/A,2023,0.0
N/A,Appendage,N/A,N/A,Table 5,,2.0,Hulu / 20th Digital Studio,"Anna Zlokovic (director/screenplay); Hadley Robinson, Emily Hampshire, Brandon Mychal Smith, Kausar Mohammed, Desmin Borges, Deborah Rennard",[231],N/A,2023,0.0
N/A,The Exorcist: Believer,N/A,N/A,Table 5,,6.0,Universal Pictures / Blumhouse Productions / Morgan Creek Entertainment,"David Gordon Green (director/screenplay); Peter Sattler (screenplay); Leslie Odom Jr., Lidya Jewett, Olivia O’Neill, Jennifer Nettles, Norbert Leo Butz, Ann Dowd, Ellen Burstyn",[232],N/A,2023,0.0
N/A,Pet Sematary: Bloodlines,N/A,N/A,Table 5,,6.0,Paramount+ / Paramount Players / Di Bonaventura Pictures,"Lindsey Anderson Beer (director/screenplay); Jeff Buhler (screenplay); Jackson White, Jack Mulhern, Henry Thomas, Forrest Goodluck, Natalie Alyn Lind, Isabella Star LaBlanc, Pam Grier, David Duchovny",[233],N/A,2023,0.0
N/A,Totally Killer,N/A,N/A,Table 5,,6.0,Amazon Studios / Blumhouse Productions,"Nahnatchka Khan (director); David Matalon, Sasha Perl-Raver, Jen D'Angelo (screenplay); Kiernan Shipka, Olivia Holt, Julie Bowen, Randall Park",[234],N/A,2023,0.0
N/A,V/H/S/85,N/A,N/A,Table 5,,6.0,Studio 71 / Bloody Disgusting,"Mike P. Nelson, Gigi Saul Guerrero (directors/screenplay); Scott Derrickson, David Bruckner, Natasha Kermani (directors); Jordan Belfi, Kelli Garner, Gabriela Roel, Gigi Saul Guerrero, Chivonne Michelle, James Ransone, Freddy Rodriguez, Britt Baron",[235],N/A,2023,0.0
N/A,The Caine Mutiny Court-Martial,N/A,N/A,Table 5,,6.0,Republic Pictures / Showtime / Paramount+,"William Friedkin (director/screenplay); Kiefer Sutherland, Lance Reddick, Jason Clarke, Jake Lacy, Monica Raymund, Lewis Pullman, Jay Duplass, Tom Riley",[236],N/A,2023,0.0
N/A,Dicks: The Musical,N/A,N/A,Table 5,,6.0,A24 / Chernin Entertainment,"Larry Charles (director); Aaron Jackson, Josh Sharp (screenplay); Megan Mullally, Megan Thee Stallion, Bowen Yang, Nathan Lane, Aaron Jackson, Josh Sharp",[237],N/A,2023,0.0
N/A,Foe,N/A,N/A,Table 5,,6.0,Amazon Studios / See-Saw Films / Anonymous Content,"Garth Davis (director/screenplay); Iain Reid (screenplay); Saoirse Ronan, Paul Mescal, Aaron Pierre",[238],N/A,2023,0.0
N/A,She Came to Me,N/A,N/A,Table 5,,6.0,Vertical Entertainment / Killer Films,"Rebecca Miller (director/screenplay); Peter Dinklage, Marisa Tomei, Joanna Kulig, Brian d'Arcy James, Anne Hathaway",[239],N/A,2023,0.0
N/A,The Burial,N/A,N/A,Table 5,,6.0,Amazon Studios / Maven Screen Media,"Maggie Betts (director/screenplay); Doug Wright (screenplay); Jamie Foxx, Tommy Lee Jones, Jurnee Smollett, Mamoudou Athie, Bill Camp, Pamela Reed, Alan Ruck",[240],N/A,2023,0.0
N/A,Desperation Road,N/A,N/A,Table 5,,6.0,Lionsgate,"Nadine Crocker (director); Michael Farris Smith (screenplay); Garrett Hedlund, Mel Gibson, Willa Fitzgerald, Ryan Hurst",[241],N/A,2023,0.0
N/A,Miranda's Victim,N/A,N/A,Table 5,,6.0,Vertical Entertainment,"Michelle Danner (director); J. Craig Stiles (screenplay); Abigail Breslin, Luke Wilson, Andy García, Donald Sutherland, Sebastian Quinn, Ryan Phillippe",[242],N/A,2023,0.0
N/A,Cat Person,N/A,N/A,Table 5,,6.0,Rialto Pictures / StudioCanal,"Susanna Fogel (director); Michelle Ashford (screenplay); Emilia Jones, Nicholas Braun, Geraldine Viswanathan, Hope Davis, Fred Melamed, Isabella Rossellini",[243],N/A,2023,0.0
